Render flag enabled: attempting to use MuJoCo visualiser (render=true).
Launching MuJoCo visualizer... Close window to exit or it will auto-exit after steps.
[Step  528 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
[Step  534 ] pos=( 0.809 ,  0.404 ) goal=( 0.8 ,  0.4 ) dist= 0.0098
[Step  541 ] pos=( 0.81 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0099
[Step  547 ] pos=( 0.814 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0144
[Step  553 ] pos=( 0.802 ,  0.399 ) goal=( 0.8 ,  0.4 ) dist= 0.0019
[Step  561 ] pos=( 0.802 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0094
[Step  567 ] pos=( 0.804 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0103
[Step  574 ] pos=( 0.805 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0072
[Step  581 ] pos=( 0.793 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0118
[Step  590 ] pos=( 0.796 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0037
[Step  596 ] pos=( 0.787 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0127
[Step  602 ] pos=( 0.796 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0056
[Step  609 ] pos=( 0.8 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0043
[Step  615 ] pos=( 0.805 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0069
[Step  621 ] pos=( 0.793 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0073
[Step  627 ] pos=( 0.804 ,  0.397 ) goal=( 0.8 ,  0.4 ) dist= 0.0056
[Step  634 ] pos=( 0.801 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0048
[Step  640 ] pos=( 0.801 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0009
[Step  646 ] pos=( 0.801 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0044
[Step  652 ] pos=( 0.805 ,  0.397 ) goal=( 0.8 ,  0.4 ) dist= 0.0063
[Step  659 ] pos=( 0.805 ,  0.391 ) goal=( 0.8 ,  0.4 ) dist= 0.0103
[Step  665 ] pos=( 0.805 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0069
[Step  671 ] pos=( 0.805 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0069
[Step  678 ] pos=( 0.81 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.011
[Step  684 ] pos=( 0.81 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0099
[Step  690 ] pos=( 0.806 ,  0.404 ) goal=( 0.8 ,  0.4 ) dist= 0.0074
[Step  697 ] pos=( 0.81 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.011
[Step  703 ] pos=( 0.797 ,  0.408 ) goal=( 0.8 ,  0.4 ) dist= 0.0088
[Step  709 ] pos=( 0.805 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0107
[Step  715 ] pos=( 0.809 ,  0.401 ) goal=( 0.8 ,  0.4 ) dist= 0.0091
[Step  722 ] pos=( 0.805 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0054
[Step  728 ] pos=( 0.801 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0009
[Step  734 ] pos=( 0.796 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0037
[Step  741 ] pos=( 0.8 ,  0.391 ) goal=( 0.8 ,  0.4 ) dist= 0.0088
[Step  747 ] pos=( 0.796 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0056
[Step  753 ] pos=( 0.792 ,  0.391 ) goal=( 0.8 ,  0.4 ) dist= 0.012
[Step  759 ] pos=( 0.792 ,  0.395 ) goal=( 0.8 ,  0.4 ) dist= 0.0097
[Step  766 ] pos=( 0.788 ,  0.396 ) goal=( 0.8 ,  0.4 ) dist= 0.0125
[Step  777 ] pos=( 0.791 ,  0.4 ) goal=( 0.8 ,  0.4 ) dist= 0.0091
[Step  783 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
